"";"*gr_01";"*gr_02"
"garantia";3;66
"audiência";7;58
"garantir";7;114
"seguinte";15;82
"amaral";0;19
"caravana";0;28
"produção";2;32
"dodge";0;33
"figura";11;19
"antagonista";14;6
"construir";10;68
"partidário";4;38
"conduzir";10;55
"amazona";0;15
"andrade";2;21
"1";51;230
"vital";2;9
"morte";9;122
"guiar";1;10
"fundamento";4;28
"explodir";12;19
"solidariedade";2;11
"câncer";2;8
"j";4;73
"leve";2;13
"motorista";0;32
"determinado";3;47
"estrutural";0;10
"companhia";2;66
"turma";23;95
"exclusivo";5;20
"atrapalhar";3;19
"contratação";1;20
"voltar";32;174
"embarcação";2;12
"pré_candidatos";0;10
"braskem";1;31
"passar";53;335
"maior";53;304
"vizinho";5;41
"adversário";0;25
"prontidão";6;4
"distinto";0;11
"detenção";0;21
"dispor";1;25
"celso";3;44
"limpo";3;30
"migrar";1;9
"emprego";11;49
"placa";2;10
"cubano";3;11
"bumlai";0;22
"ameaça";37;155
"avaliar";8;103
"poupar";11;4
"copa";3;9
"contribuir";1;38
"aceitar";7;83
"momento";38;358
"chegada";2;20
"cracolândia";3;13
"r";1;9
"nota";23;302
"and";1;9
"prb";1;9
"pro";34;178
"ano";113;1050
"frota";12;8
"apresentado";1;63
"apoiar";18;75
"gustavo";1;16
"politicamente";2;26
"ideal";0;17
"new";5;16
"terrorismo";2;21
"frio";7;18
"reservado";1;9
"conversa";19;254
"liderar";8;30
"prestar";11;137
"criminalista";2;11
"inteiro";9;21
"mercado";14;107
"populismo";1;10
"briga";3;12
"ouvir";7;110
"crime";56;367
"norte_coreanos";4;38
"administração";8;80
"liderança";5;50
"referir";41;56
"radar";3;18
"educação";7;51
"pimentel";5;9
"ódio";4;25
"médico";14;82
"antecipar";1;9
"índice";0;26
"frente";11;113
"federal";104;794
"segurar";2;11
"passagem";0;17
"mônica";11;44
"câmara";47;383
"como";173;1795
"liberação";3;17
"pré_candidato";0;23
"22";7;40
"combater";6;33
"6";20;152
"afeganistão";4;7
"28";6;48
"por";608;5043
"correto";6;18
"60";6;35
"acabar";42;171
"64";3;9
"polo";0;11
"atestar";2;14
"sugestão";1;33
"500";17;49
"protocolo";3;12
"patrício";10;8
"divisão";1;30
"verdadeiro";10;42
"casa";44;280
"caso";78;652
"entrega";3;39
"cândido";0;13
"taxista";0;10
"prisão";55;341
"errado";7;33
"advocacia";1;14
"ironia";4;6
"fácil";5;39
"evento";10;46
"golpe";12;45
"consumidor";4;13
"status";2;10
"luta";11;73
"saldo";1;22
"integridade";1;13
"raça";0;15
"consigo";0;10
"shayrat";1;9
"triste";2;11
"dedo";2;9
"sancionar";0;12
"explosão";5;7
"pressionar";5;29
"rosa";4;12
"blog";3;18
"derrubar";10;38
"destaque";3;13
"holding";0;11
"porto";10;74
"cadeira";0;22
"prejuízo";6;30
"ciência";3;32
"tanto";19;126
"abrigo";7;14
"fracassar";1;10
"esplanada";4;21
"teoria";1;51
"transcrição";1;14
"autonomia";2;20
"formalmente";1;9
"cobrança";3;7
"moon";0;26
"2a";4;11
"comunicado";3;69
"of";3;10
"apuração";3;38
"compartilhar";1;30
"tensão";11;55
"direção";7;48
"instrumento";2;27
"nove";2;28
"investimento";2;84
"escândalo";8;41
"telefônico";1;29
"revolução";0;18
"equipamento";6;32
"ex_presidente";96;725
"carvalho";12;19
"internautas";11;1
"confusão";5;14
"pronunciamento";7;34
"feliz";1;10
"cbn";0;14
"mike";3;9
"defesa";80;589
"fornecedor";0;15
"5";32;217
"aplicativo";0;18
"pauta";3;57
"pinheiro";10;75
"balanço";1;11
"grupo";60;376
"alteração";1;27
"versão";4;47
"transporte";1;26
"perseguição";2;21
"construtor";2;54
"possivelmente";2;9
"ali";2;58
"hierarquia";1;10
"separar";1;18
"abin";6;25
"velho";6;35
"sociedade";13;178
"existir";20;168
"equivocar";1;11
"dirigir";6;43
"estupro";0;10
"reino";15;19
"ter";483;3563
"criminalizar";0;10
"sua";154;995
"sul";53;251
"chamar";52;109
"jato";4;9
"alberto";0;15
"avaliação";4;56
"naval";6;16
"diário";17;20
"surpresa";1;21
"implantação";4;6
"influenciar";4;25
"texto";8;128
"trecho";8;78
"arrepender";2;8
"estimativa";2;20
"dem_rj";1;29
"provocar";12;54
"vista";7;78
"começar";25;219
"nunes";12;12
"permanente";0;19
"descrever";5;25
"conta";20;126
"mira";1;10
"avanço";3;57
"debater";0;10
"salvador";2;33
"adesão";0;21
"baixar";4;18
"renato";5;27
"negócio";8;94
"relatar";30;106
"dúvida";8;78
"realização";3;35
"concordar";3;65
"cachorro";4;6
"comunicação";6;54
"favorecimento";0;15
"prender";9;23
"lhe";13;45
"festa";5;15
"marlon";0;10
"dentro";14;163
"grande";47;318
"personalidade";2;12
"agronegócio";2;8
"delação";93;483
"integração";0;24
"tático";1;9
"financiar";4;34
"recolhimento";1;9
"argentino";1;18
"150";7;25
"superintendência";1;14
"ficar";64;402
"cada";26;196
"pedido";39;318
"cercar";34;146
"envolver";18;148
"fábrica";2;27
"clandestino";2;8
"bloquear";2;8
"janeiro";11;173
"benjamin";12;26
"intenção";13;64
"obra";9;102
"sanitário";3;12
"projeto";34;250
"fúria";0;12
"77";0;10
"corrêa";4;23
"relato";8;39
"ciente";2;9
"concurso";4;7
"bernardo";5;44
"raciocínio";2;8
"candidatar";2;21
"natureza";2;25
"hotel";3;17
"eletrônico";4;33
"dano";7;35
"ingressar";0;11
"7a";1;9
"assistir";17;36
"direito";29;311
"cobrar";5;39
"articulação";1;18
"violar";7;21
"duque";5;55
"privado";6;78
"situação";43;222
"manobra";3;29
"76";1;10
"75";3;8
"73";2;11
"cordeiro";0;10
"atualmente";6;51
"66";1;10
"atuação";2;69
"superar";2;25
"história";18;131
"carga";2;20
"perícia";0;18
"original";2;30
"engenheiro";5;17
"porque";54;479
"vítima";11;78
"aparelho";4;15
"identificado";3;20
"cota";0;14
"início";15;145
"camex";0;16
"curto";3;19
"transferência";4;47
"diretoria";4;32
"confessar";9;18
"demonstrar";26;94
"catastrófico";3;7
"código";2;44
"constar";8;38
"território";18;63
"diligência";0;10
"solo";2;9
"cirurgia";2;14
"existência";3;30
"c";2;24
"cortar";3;19
"considerar";16;205
"operar";2;25
"capítulo";2;9
"fantástico";0;11
"adriano";3;8
"criação";3;47
"legalidade";0;20
"pr";3;32
"brics";0;11
"pt";76;374
"criar";19;165
"pf";86;194
"pe";3;7
"pm";7;19
"auxiliar";0;32
"cinco";9;98
"fernandes";0;18
"bombardeio";3;28
"doria";0;59
"rir";2;10
"melin";0;13
"cassar";2;54
"9";16;99
"atrás";8;37
"pé";3;26
"amplo";1;28
"napoleão";13;2
"participante";1;19
"apenas";43;262
"propor";4;47
"internar";3;12
"investidor";1;18
"depositar";1;16
"inocente";5;24
"técnica";0;31
"credibilidade";1;21
"técnico";1;39
"integrante";6;63
"fraudar";0;12
"aço";0;23
"piorar";1;13
"militar";79;338
"direto";15;72
"arthur";2;12
"arrecadação";0;12
"entidade";1;49
"comida";8;13
"revogação";0;11
"revisão";1;14
"rádio";10;41
"kassab";0;12
"atriz";4;8
"luxo";0;14
"medo";14;32
"pac";1;15
"comandar";16;48
"pago";5;14
"gás";4;26
"modelo";7;43
"justo";2;19
"exemplo";11;172
"intenso";0;18
"avisar";14;22
"batalha";2;12
"sindicato";4;58
"tributação";0;10
"câmera";6;23
"mst";4;10
"greenfield";1;11
"canal";8;30
"i";3;10
"comprometido";0;12
"absolutamente";10;42
"anúncio";1;28
"fase";7;109
"exatamente";3;29
"infelizmente";3;24
"devidamente";2;11
"foguete";9;28
"norte_americano";21;19
"norte_americana";8;8
"impossível";7;20
"desfile";9;10
"associated";0;12
"áfrica";4;24
"letícia";4;35
"imposto";13;88
"frear";0;13
"tentativa";8;97
"desdobramento";1;19
"conselho";10;160
"perfil";3;17
"independente";6;18
"gravador";2;11
"protagonizar";4;6
"diretor_geral";0;24
"problema";22;191
"inglês";2;33
"teto";0;30
"nenhum";24;267
"acalmar";5;7
"desenvolver";6;59
"palavra";20;94
"atrasar";0;11
"estranho";4;14
"psdb";10;185
"vestir";0;10
"tribunal";19;215
"expectativa";5;36
"você";69;380
"postura";0;18
"contrapartida";3;20
"virtude";1;18
"informação";61;233
"península";24;46
"claudio";0;21
"nação";13;70
"capital";26;95
"recuperar";5;19
"porta_voz";3;34
"público";106;816
"destinar";5;68
"metro";4;6
"prestígio";1;13
"transparência";2;29
"substituir";11;25
"jae_in";0;19
"rede";49;117
"pesar";0;12
"comentar";18;72
"uso";9;94
"uss";24;19
"violência";3;131
"especialista";17;81
"sangue";8;17
"interferência";1;12
"perante";8;23
"estudante";1;17
"pmdb_al";0;17
"tampouco";0;10
"tal";32;115
"expandir";2;9
"meio";30;342
"azevedo";1;11
"importar";3;38
"semelhante";1;22
"sequestro";0;12
"sim";22;108
"vírus";9;1
"mentiroso";4;13
"martins";2;37
"decolar";2;10
"descartar";11;25
"nacala";0;31
"omissão";1;13
"indevido";2;45
"superior";14;115
"listar";16;85
"13a";0;10
"washington";10;75
"material";7;52
"dever";65;510
"souza";1;36
"auto";0;47
"asmat";0;11
"artilharia";3;11
"83";2;15
"80";4;40
"conhecimento";4;70
"87";4;11
"prático";8;111
"bombeiro";2;8
"cautela";1;12
"mendherson";1;10
"legado";3;28
"york";9;43
"embora";3;96
"cair";22;85
"via";10;49
"teor";2;9
"exportação";2;54
"filiar";1;14
"seu";189;1042
"instalar";5;24
"deflagrar";2;28
"marqueteiro";6;44
"capaz";15;66
"vereador";4;64
"efeito";3;59
"fgts";0;12
"carnaval";0;17
"adotado";1;10
"governamental";0;12
"independentemente";1;13
"sonho";6;17
"tender";5;57
"europeu";3;95
"certamente";3;18
"governança";0;19
"encerramento";1;10
"distrito";2;42
"lugar";15;98
"intermediário";2;12
"medicamento";4;8
"recuar";2;11
"fiel";1;9
"ninguém";34;124
"democrata";0;17
"comparação";1;13
"insegurança";0;10
"julgador";0;10
"debate";3;58
"eficiente";0;12
"comércio";1;60
"manipular";6;5
"pensar";19;112
"local";31;135
"firmado";0;10
"corresponder";2;13
"cuba";6;26
"massacre";2;11
"transição";0;10
"pedalada";2;10
"bem_informado";0;12
"noruega";6;10
"ilegalidade";1;30
"partir";20;162
"dispensar";4;7
"interferir";4;20
"perfeito";3;8
"favor";24;111
"itália";3;29
"agravar";2;22
"trabalhar";22;169
"termelétrico";0;10
"petrobrás";1;35
"quebra";3;21
"confronto";4;28
"avô";2;10
"apurar";5;69
"amigo";17;84
"revisor";0;17
"fraco";5;46
"compor";8;15
"alcance";9;76
"faltar";8;36
"cuidar";3;25
"maranhão";0;11
"criminalidade";2;11
"especificamente";4;12
"exploração";0;15
"terrível";6;11
"atirar";2;11
"pdt";0;22
"gasto";3;50
"beneficiário";7;26
"diante";12;98
"quarta_feira";6;98
"abrangente";1;10
"íntegro";2;102
"filho";43;183
"conter";13;34
"notícia";22;97
"descoberto";2;12
"manutenção";2;23
"dificultar";0;16
"obrigação";1;22
"fé";2;13
"bendine";0;19
"arquivar";4;18
"michel_temer";203;1000
"tcu";2;28
"organização";14;139
"2009";6;49
"resultar";1;31
"posição";8;113
"dispositivo";2;12
"preso";50;229
"presa";8;20
"esquerdo";4;73
"press";1;13
"consumo";0;29
"diminuir";2;31
"socialista";5;11
"cometer";18;93
"odebrecht";55;510
"leal";0;14
"investir";2;26
"pasta";2;37
"injusto";2;14
"cheio";3;16
"sólido";2;13
"em";1959;16232
"lúcia";11;71
"impactar";0;11
"sério";9;31
"gravidade";2;20
"tasso";1;14
"lúcio";9;45
"série";3;68
"punição";6;43
"mídia";22;31
"merkel";5;8
"volume";0;15
"fundo";11;88
"providência";1;9
"adiante";1;12
"funaro";16;87
"record";9;1
"tema";1;95
"negociar";14;80
"afastado";9;72
"profundamente";2;12
"exportador";0;15
"picciani";0;14
"branco";11;86
"presença";5;53
"assunto";21;160
"oferecer";7;71
"recibo";2;42
"aposentadoria";4;39
"perigo";2;13
"homicídio";7;67
"lima";6;66
"identificação";4;16
"percorrer";2;14
