"";"banalfreq";"X.gr_01";"X.gr_02"
"agressor";14;-0,6523;0,6523
"gênero";23;-0,5147;0,5147
"médio";21;0,4414;-0,4414
"escrever";42;1,2327;-1,2327
"humano";38;1,9101;-1,9101
"futebol";50;-0,98;0,98
"luz";14;0,7844;-0,7844
"frente";29;0,2387;-0,2387
"aqui";56;-0,5028;0,5028
"limite";16;0,6613;-0,6613
"emoção";11;-0,5125;0,5125
"paraguai";10;-0,4659;0,4659
"chamar";38;0,2602;-0,2602
"possibilidade";29;0,2387;-0,2387
"iozzi";10;-0,4659;0,4659
"espanha";10;0,5677;-0,5677
"mesmo";198;-1,0583;1,0583
"possível";67;-1,0945;1,0945
"parte";107;-0,6418;0,6418
"estado";152;-1,3254;1,3254
"adorar";13;0,8568;-0,8568
"temer";12;0,4573;-0,4573
"físico";16;-0,2964;0,2964
"40";28;-0,3494;0,3494
"lauren";10;-0,4659;0,4659
"vida";136;1,2266;-1,2266
"aeronave";17;-0,3259;0,3259
"fechar";20;-0,1758;0,1758
"amplo";11;-0,5125;0,5125
"investigar";19;-0,3867;0,3867
"motivo";22;0,4082;-0,4082
"preconceito";14;-0,6523;0,6523
"torcido";14;-0,6523;0,6523
"usar";76;1,3732;-1,3732
"mudo";13;-0,6057;0,6057
"artista";34;0,3375;-0,3375
"pistola";14;-0,2397;0,2397
"questionar";19;-0,3867;0,3867
"parede";10;0,5677;-0,5677
"norte";30;0,7343;-0,7343
"helicóptero";18;-0,8387;0,8387
"começo";18;-0,8387;0,8387
"sempre";102;-1,0188;1,0188
"etapa";16;-0,7455;0,7455
"apesar";25;-0,2795;0,2795
"agir";11;-0,1611;0,1611
"ingrediente";10;-0,4659;0,4659
"benefício";15;1,8653;-1,8653
"faixa";23;-0,5147;0,5147
"percorrer";12;-0,5591;0,5591
"presente";21;0,7989;-0,7989
"frango";11;1,7069;-1,7069
"exigir";17;-0,3259;0,3259
"reforma";31;-0,7902;0,7902
"utilização";15;-0,6989;0,6989
"segurança";74;0,471;-0,471
"sírio";23;-0,2359;0,2359
"cadeia";11;-0,5125;0,5125
"prioridade";14;-0,6523;0,6523
"andré";13;-0,6057;0,6057
"tipo";82;1,4366;-1,4366
"ferido";12;-0,5591;0,5591
"sobre";229;-0,5582;0,5582
"água";145;-0,7269;0,7269
"100";33;-1,5377;1,5377
"acesso";24;-0,5479;0,5479
"cidade";124;1,1073;-1,1073
"estrutura";15;-0,2677;0,2677
"morar";47;-0,549;0,549
"moral";16;-0,7455;0,7455
"marido";18;-0,356;0,356
"arma";69;-0,8047;0,8047
"pacto";14;-0,6523;0,6523
"melhorar";20;-0,418;0,418
"rio";85;-1,2341;1,2341
"desfilar";10;-0,4659;0,4659
"união";11;-0,1611;0,1611
"nós";52;-1,5849;1,5849
"titular";12;-0,5591;0,5591
"psicológico";13;-0,2126;0,2126
"alegre";33;-0,8621;0,8621
"delegacia";35;0,3163;-0,3163
"comunidade";31;-0,4242;0,4242
"mensagem";17;0,6086;-0,6086
"escapar";10;-0,137;0,137
"foto";36;0,5205;-0,5205
"três";82;-1,1495;1,1495
"entrar";69;-0,3578;0,3578
"assalto";10;-0,4659;0,4659
"grade";10;-0,137;0,137
"formação";12;-0,1864;0,1864
"bonito";18;-0,356;0,356
"2";44;0,3296;-0,3296
"gerar";18;-0,356;0,356
"abril";10;0,5677;-0,5677
"redação";14;-0,6523;0,6523
"abrir";25;0,9846;-0,9846
"geral";29;-0,3738;0,3738
"mina";13;0,4122;-0,4122
"gabriela";23;-1,0717;1,0717
"regular";12;0,4573;-0,4573
"dor";19;-0,3867;0,3867
"leitura";20;-0,418;0,418
"delegado";29;-0,3738;0,3738
"anunciar";17;-0,3259;0,3259
"principalmente";25;1,4447;-1,4447
"suspeito";18;-0,356;0,356
"suspeita";13;0,4122;-0,4122
"sair";84;-0,4329;0,4329
"futuro";25;0,3237;-0,3237
"falar";137;0,3744;-0,3744
"apresentação";14;-0,2397;0,2397
"concluir";17;0,2775;-0,2775
"setembro";11;-0,5125;0,5125
"proteína";10;1,8673;-1,8673
"usado";45;-0,291;0,291
"pista";33;-0,8621;0,8621
"encontrar";114;0,3051;-0,3051
"servir";26;1,8872;-1,8872
"ir";1153;1,2357;-1,2357
"residência";10;-0,137;0,137
"livre";20;-0,9319;0,9319
"estadual";29;-1,3513;1,3513
"triste";10;0,5677;-0,5677
"produzir";28;-0,6844;0,6844
"programa";56;-0,5028;0,5028
"personagem";25;-1,1649;1,1649
"conflito";17;-0,7921;0,7921
"borges";10;0,5677;-0,5677
"jornalismo";27;-1,2581;1,2581
"esporte";21;-0,4497;0,4497
"assim";91;-0,7699;0,7699
"negar";11;0,5087;-0,5087
"apontar";43;-0,7617;0,7617
"bola";12;-0,5591;0,5591
"aumento";10;-0,4659;0,4659
"trabalho";116;0,2837;-0,2837
"tecnologia";30;-0,7546;0,7546
"erro";12;-0,5591;0,5591
"baixo";25;-1,1649;1,1649
"metropolitano";10;-0,4659;0,4659
"condição";47;-0,549;0,549
"tarde";28;0,2575;-0,2575
"atividade";26;0,2999;-0,2999
"produto";50;1,5651;-1,5651
"digital";10;-0,4659;0,4659
"alerta";14;1,332;-1,332
"russo";22;0,4082;-0,4082
"captação";11;-0,5125;0,5125
"menos";63;0,3349;-0,3349
"0";17;-0,3259;0,3259
"sustentável";11;-0,5125;0,5125
"mg";15;-0,6989;0,6989
"dia";216;0,6777;-0,6777
"cozinha";10;-0,4659;0,4659
"agosto";16;-0,7455;0,7455
"viagem";31;-1,4445;1,4445
"instituto";19;1,4258;-1,4258
"bom";108;-0,8849;0,8849
"realmente";13;-0,6057;0,6057
"enorme";14;0,3724;-0,3724
"cérebro";12;0,4573;-0,4573
"mau";11;-0,5125;0,5125
"mal";25;0,3237;-0,3237
"sofrer";56;0,4657;-0,4657
"treinamento";10;-0,137;0,137
"mais";583;-1,0638;1,0638
"maio";16;-0,2964;0,2964
"significar";11;1,0303;-1,0303
"janeiro";28;-0,3494;0,3494
"fazer";505;-0,7112;0,7112
"departamento";13;-0,2126;0,2126
"chave";16;1,1428;-1,1428
"org";12;-0,5591;0,5591
"acrescentar";12;0,4573;-0,4573
"registrar";29;-0,3738;0,3738
"atuação";12;-0,5591;0,5591
"rachel";10;-0,4659;0,4659
"nascimento";10;-0,4659;0,4659
"diagnosticar";14;0,7844;-0,7844
"broadcast";13;-0,6057;0,6057
"subterrâneo";13;-0,2126;0,2126
"10";54;0,7464;-0,7464
"13";20;-0,1758;0,1758
"12";33;0,6179;-0,6179
"15";44;0,8094;-0,8094
"número";48;0,2618;-0,2618
"17";15;1,8653;-1,8653
"16";17;0,2775;-0,2775
"19";20;-0,1758;0,1758
"18";16;0,6613;-0,6613
"pegar";33;0,3602;-0,3602
"princípio";11;-0,5125;0,5125
"aumentar";20;0,4777;-0,4777
"unidade";17;-0,7921;0,7921
"convidar";12;-0,1864;0,1864
"interior";18;0,2523;-0,2523
"200";22;-0,2152;0,2152
"normal";17;0,2775;-0,2775
"digno";11;-0,5125;0,5125
"corrente";11;-0,5125;0,5125
"show";27;0,2778;-0,2778
"preciso";32;-1,4911;1,4911
"população";32;-0,2311;0,2311
"stand";14;-0,6523;0,6523
"já";256;-0,5136;0,5136
"razão";24;0,3496;-0,3496
"chuva";11;-0,1611;0,1611
"certeza";14;0,7844;-0,7844
"proposta";18;-0,356;0,356
"achar";99;-1,2602;1,2602
"quadro";12;-0,5591;0,5591
"crescimento";20;-0,418;0,418
"garoto";11;0,5087;-0,5087
"arte";53;-1,6245;1,6245
"acre";11;1,0303;-1,0303
"partida";15;-0,6989;0,6989
"quatro";36;-0,5582;0,5582
"paz";11;0,5087;-0,5087
"pai";96;0,2859;-0,2859
"então";95;-0,4424;0,4424
"necessariamente";10;-0,4659;0,4659
"perto";31;0,4103;-0,4103
"4";30;-0,1971;0,1971
"viver";91;-0,2581;0,2581
"compreender";11;0,5087;-0,5087
"atender";24;-0,5479;0,5479
"sambalanço";10;-0,4659;0,4659
"empresa";139;0,7664;-0,7664
"pessoa";294;0,9842;-0,9842
"responsabilidade";10;-0,4659;0,4659
"advogado";31;-0,2138;0,2138
"interesse";15;-0,6989;0,6989
"universidade";22;-0,2152;0,2152
"11";28;0,2575;-0,2575
"nível";18;-0,8387;0,8387
"gol";17;-0,7921;0,7921
"papelão";15;-0,6989;0,6989
"vila";21;-0,1951;0,1951
"viajar";10;-0,137;0,137
"14";21;-0,1951;0,1951
"fuzil";29;-1,3513;1,3513
"clássico";18;-0,8387;0,8387
"decisão";22;-0,482;0,482
"comprovar";10;-0,137;0,137
"dificuldade";32;-0,826;0,826
